Wall time,Step,Value
1531049128,699,0.959999979
1531049129,703,0.910000026
1531049130,706,0.930000007
1531049130,708,0.930000007
1531049131,710,0.910000026
1531049131,714,0.959999979
1531049132,718,0.939999998
1531049133,721,0.959999979
1531049133,722,0.949999988
1531049133,723,0.939999998
1531049134,730,0.949999988
1531049136,736,0.930000007
1531049137,738,0.939999998
1531049137,739,0.920000017
1531049139,743,0.930000007
1531049142,747,0.959999979
1531049142,750,0.930000007
1531049143,751,0.949999988
1531049143,752,0.939999998
1531049144,754,0.920000017
1531049144,756,0.930000007
1531049146,765,0.970000029
1531049146,766,0.949999988
1531049147,769,0.970000029
1531049147,770,0.920000017
1531049147,771,0.959999979
1531049148,773,0.959999979
1531049148,774,0.939999998
1531049149,780,0.930000007
1531049150,784,0.949999988
1531049150,785,0.959999979
1531049151,787,0.949999988
1531049151,789,0.939999998
1531049152,792,0.959999979
1531049152,793,0.939999998
1531049152,794,0.920000017
1531049152,795,0.949999988
1531049153,798,0.939999998
1531049154,802,0.959999979
1531049155,807,0.930000007
1531049155,808,0.99000001
1531049155,809,0.910000026
1531049157,815,0.949999988
1531049158,821,0.949999988
1531049159,825,0.930000007
1531049159,828,0.949999988
1531049160,832,0.920000017
1531049161,836,0.970000029
1531049161,838,0.949999988
1531049162,843,0.99000001
1531049164,846,0.959999979
1531049181,867,0.959999979
1531049182,869,0.970000029
1531049183,870,0.99000001
1531049184,874,0.939999998
1531049185,876,0.980000019
1531049186,880,0.959999979
1531049187,882,0.920000017
1531049188,890,0.949999988
1531049190,896,0.910000026
1531049190,900,0.959999979
1531049192,907,0.959999979
1531049192,908,0.899999976
1531049192,909,0.949999988
1531049193,910,0.980000019
1531049194,915,0.939999998
1531049194,917,0.949999988
1531049195,920,0.970000029
1531049195,921,0.959999979
1531049195,923,0.959999979
1531049197,931,0.970000029
1531049197,932,0.99000001
1531049197,935,0.939999998
1531049199,942,1
1531049199,945,0.939999998
1531049201,954,0.970000029
1531049201,956,0.970000029
1531049201,957,0.920000017
1531049201,958,0.949999988
1531049202,961,0.949999988
1531049202,962,0.970000029
1531049203,966,0.920000017
1531049203,971,0.970000029
1531049204,972,0.980000019
1531049204,976,0.980000019
1531049204,977,0.939999998
1531049205,978,0.889999986
1531049205,979,0.959999979
1531049206,983,0.970000029
1531049206,984,0.959999979
1531049206,987,0.939999998
1531049206,988,0.970000029
1531049208,996,0.949999988
1531049209,1000,0.949999988
1531049209,1002,0.920000017
1531049209,1004,0.939999998
1531049210,1005,0.899999976
1531049211,1012,0.930000007
1531049211,1013,0.980000019
1531049211,1014,0.949999988
1531049212,1017,0.980000019
1531049213,1025,0.970000029
1531049214,1027,0.99000001
1531049215,1031,0.930000007
1531049215,1032,0.970000029
1531049215,1035,0.970000029
1531049216,1037,0.980000019
1531049217,1044,0.939999998
1531049220,1055,0.889999986
1531049220,1057,0.980000019
1531049221,1063,0.959999979
1531049221,1064,0.930000007
1531049222,1066,0.939999998
1531049222,1068,0.970000029
1531049223,1072,0.959999979
1531049224,1076,0.959999979
1531049224,1078,0.920000017
1531049225,1083,0.949999988
1531049225,1084,0.970000029
1531049225,1085,0.930000007
1531049227,1093,0.949999988
1531049228,1099,0.939999998
1531049229,1103,0.930000007
1531049229,1104,0.99000001
1531049229,1105,0.970000029
1531049231,1114,0.980000019
1531049231,1116,0.959999979
1531049232,1119,0.959999979
1531049233,1125,0.959999979
1531049233,1126,0.970000029
1531049235,1133,0.980000019
1531049236,1135,0.980000019
1531049241,1155,0.959999979
1531049241,1156,0.949999988
1531049242,1160,0.970000029
1531049243,1161,0.959999979
1531049244,1162,0.959999979
1531049248,1180,0.99000001
1531049249,1183,0.980000019
1531049249,1185,0.959999979
1531049252,1192,0.99000001
1531049252,1193,0.980000019
1531049253,1199,0.980000019
1531049254,1201,0.910000026
1531049255,1206,0.949999988
1531049255,1208,0.99000001
1531049256,1210,0.970000029
1531049256,1214,0.959999979
1531049258,1224,1
1531049260,1232,0.930000007
1531049260,1233,0.949999988
